No.  X  Y  Z  Yaw  Pitch  Roll  Weld_En
3 10.785 14.67 3.99 0 0 1 1
3 10.35 14.384 3.99 0 0 1 1
3 9.771 13.968 3.99 0 0 1 1
3 8.971 13.332 3.99 0 0 1 1
3 8.436 12.863 3.99 0 0 1 1
3 7.921 12.366 3.99 0 0 1 1
3 7.568 12.003 3.99 0 0 1 1
3 7.156 11.549 3.99 0 0 1 1
3 6.767 11.087 3.99 0 0 1 1
3 6.026 10.104 3.99 0 0 1 1
3 5.631 9.51 3.99 0 0 1 1
3 5.364 9.08 3.99 0 0 1 1
3 5.069 8.565 3.99 0 0 1 1
3 4.778 8.01 3.99 0 0 1 1
3 4.471 7.361 3.99 0 0 1 1
3 4.269 6.899 3.99 0 0 1 1
3 4.012 6.235 3.99 0 0 1 1
